category,amount,share_of_revenue
Закупочная себестоимость,487363044.0,0.7439710988084383
ФОТ и налоги,59962470.34,0.09153411506129339
Аренда,22163948.0,0.033833785615252944
Налог с валовой прибыли,20126430.96,0.03072346814298741
Банковская комиссия,11075331.8,0.016906753333792046
Коммунальные платежи,7420030.0,0.011326849543174587
Списания,7064845.0,0.010784651323626625
Наличные операционные траты,6883159.0,0.010507303390248832
