store,month,month_number,total_row,net_profit_cell,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,net_profit
КА2,Апрель,4,205,AQ174,1270436.0,1827185.0,556749.0,466284.0,1389140.0,1855424.0,0.0,0.0,0.0,3756.0,0.0,10984.0,20000.0,0.0,60000.0,-27782.8,-66809.87999999999,105270.0,52635.0,0.0,0.0,0.0,0.0,-2416.48,210850.84
КА2,Май,5,262,AQ231,1162691.0,1660776.0,498085.0,376500.0,1133634.0,1510134.0,0.0,0.0,0.0,4819.0,0.0,30600.0,20000.0,0.0,60000.0,-22672.679999999997,-59770.2,105270.0,52635.0,0.0,0.0,0.0,0.0,-6732.0,140405.12
КА2,Июнь,6,319,AQ288,1005533.0,1393588.0,388055.0,365550.0,1214258.0,1579808.0,5381.0,3314.0,362046.0,0.0,0.0,6830.0,20000.0,0.0,60000.0,-24285.16,-46566.6,105270.0,52635.0,0.0,0.0,0.0,0.0,-1502.6,67651.64000000001
КА2,Июль,7,376,AQ345,1270692.0,1759727.0,489035.0,386890.0,1432916.0,1819806.0,6275.0,0.0,0.0,4364.0,0.0,24290.0,20000.0,0.0,60000.0,-28658.32,-58684.2,52634.0,13158.0,93608.0,46804.0,42700.0,0.0,-14737.8,33760.67999999998
КА2,Август,8,433,AQ402,1475172.0,2035185.0,560013.0,362200.0,1464421.0,1826621.0,0.0,0.0,0.0,0.0,0.0,17950.0,20000.0,0.0,60000.0,-29288.42,-67201.56000000001,16195.0,8100.0,0.0,0.0,74800.0,0.0,-20405.0,246073.02
П.ЗОР,Январь,1,34,AQ3,1549301.0,2184696.0,635395.0,253536.0,1631574.0,1885110.0,5723.0,0.0,0.0,0.0,0.0,77500.0,108000.0,0.0,100000.0,-32631.479999999992,-76247.40000000001,105270.0,0.0,0.0,0.0,22300.0,0.0,-21956.0,91490.12
П.ЗОР,Февраль,2,91,AQ60,1977705.0,2782038.0,804333.0,304887.0,2367134.0,2672021.0,0.0,30000.0,0.0,1345.0,6262.0,81767.0,108000.0,0.0,100000.0,-47342.680000000015,-96519.96,105268.0,52634.0,0.0,0.0,35100.0,0.0,-25710.74,121990.62
П.ЗОР,Март,3,148,AQ117,1675864.0,2323028.0,647164.0,232070.0,2233808.0,2465878.0,0.0,0.0,0.0,0.0,0.0,81300.0,108000.0,0.0,100000.0,-44676.16,-77659.68000000001,78952.0,39476.0,0.0,0.0,48600.0,0.0,-28578.0,39922.16000000003
П.ЗОР,Апрель,4,205,AQ174,1584857.0,2210534.0,625677.0,299674.0,1967385.0,2267059.0,0.0,0.0,0.0,0.0,10666.0,80359.0,108000.0,0.0,100000.0,-39347.7,-75081.23999999999,105270.0,52635.0,93665.0,46832.0,47600.0,0.0,-28150.98,-151263.92
П.ЗОР,Май,5,262,AQ231,1135934.0,1554077.0,418143.0,162580.0,1351441.0,1514021.0,0.0,0.0,4928.0,481.0,0.0,188000.0,90000.0,0.0,100000.0,-27028.820000000003,-50177.16,52635.0,26317.0,0.0,0.0,48800.0,0.0,-52096.0,-216910.98
П.ЗОР,Июнь,6,319,AQ288,1205165.0,1656763.0,451598.0,165459.0,1504141.0,1669600.0,7160.0,0.0,0.0,0.0,23100.0,60420.0,60000.0,0.0,100000.0,-30082.820000000003,-54191.76,63162.0,13158.0,93632.0,46816.0,82350.0,0.0,-31409.4,-183623.98
П.ЗОР,Июль,7,376,AQ345,1329631.0,1797998.0,468367.0,228670.0,1628520.0,1857190.0,0.0,0.0,0.0,0.0,0.0,22170.0,60000.0,0.0,122500.0,-32570.400000000005,-56204.03999999999,52635.0,26318.0,0.0,0.0,48900.0,0.0,-15635.4,31434.16
П.ЗОР,Август,8,433,AQ402,1517389.0,2068899.0,551510.0,243265.0,1630052.0,1873317.0,0.0,0.0,0.0,0.0,0.0,47583.0,60000.0,0.0,100000.0,-32601.04,-66181.2,68830.0,34415.0,0.0,0.0,95682.0,0.0,-31518.3,14699.46000000001
КОВ,Январь,1,34,AQ3,2426012.0,3388482.0,962470.0,494320.0,2739578.0,3233898.0,10451.0,0.0,0.0,2887.0,4800.0,25000.0,84000.0,22000.0,195000.0,-54791.560000000005,-115496.4,105270.0,0.0,0.0,0.0,77500.0,0.0,-22550.0,260862.03999999992
КОВ,Февраль,2,91,AQ60,2566625.0,3646628.0,1080003.0,604623.0,3145127.0,3749750.0,0.0,0.0,0.0,4032.0,518.0,23293.0,84000.0,45000.0,195000.0,-62902.54,-129600.36,105268.0,52634.0,0.0,0.0,62500.0,0.0,-18874.46,300930.64
КОВ,Март,3,148,AQ117,3006042.0,4209451.0,1203409.0,597410.0,3449989.0,4047399.0,0.0,0.0,0.0,0.0,0.0,14570.0,84000.0,45000.0,195000.0,-68999.78,-144409.08,105270.0,52635.0,0.0,0.0,89642.0,0.0,-22926.64,380956.5
КОВ,Апрель,4,205,AQ174,2794976.0,3862426.0,1067450.0,575650.0,3152520.0,3728170.0,0.0,0.0,0.0,0.0,0.0,20303.0,84000.0,26505.0,195000.0,-63050.40000000001,-128094.0,105270.0,52635.0,0.0,0.0,55063.0,0.0,-16580.52,320949.08
