month,month_number,revenue,gross_profit,net_profit,movement,discount,revaluation,store_count,expenses,gross_margin,net_margin,inventory_net_effect
Январь,1,76066373.0,20470580.0,5423149.92,-72404.0,271415.0,211973.0,32,70643223.08,0.2691147111746737,0.07129497182677555,-131846.0
Февраль,2,83721152.0,22511114.0,5444341.14,-66772.0,181918.0,112306.0,32,78276810.86,0.2688820383169118,0.06502945802752451,-136384.0
Март,3,94204544.0,25074658.0,6815837.0,2383.0,76220.0,108330.0,32,87388707.0,0.2661724895138816,0.07235146746212157,34493.0
Апрель,4,89464053.0,22870153.0,4523046.88,-9966.0,122951.0,69164.0,32,84941006.12,0.25563510966801384,0.05055714254305022,-63753.0
Май,5,75116598.0,18921802.0,1430795.7800000003,-29453.0,92775.0,94367.0,32,73685802.22,0.2518990809461312,0.01904766480505414,-27861.0
Июнь,6,75114107.0,18730045.0,2529497.5600000005,1012834.0,74602.0,112640.0,32,72584609.44,0.24935455865833564,0.03367539948254994,1050872.0
Июль,7,77199867.0,18487985.0,869487.2000000001,-59671.0,57109.0,124080.0,32,76330379.8,0.2394820835636932,0.011262806968307343,7300.0
Август,8,84196608.0,20653921.0,4770374.420000001,-67120.0,11574.0,38048.0,32,79426233.58,0.24530585602688412,0.05665756059911583,-40646.0
