category,amount,share_of_revenue
Закупочная себестоимость,429820015.0,0.7421942153938814
ФОТ и налоги на персонал,54804334.10000001,0.09463370324328346
Аренда,18996998.0,0.03280317698897557
Налог с валовой прибыли,17916079.2,0.03093669415273423
Банковская комиссия,9870458.299999999,0.01704387138311026
Коммунальные платежи за наличные,6501266.0,0.01122609894733943
Операционные траты за наличные,6420329.0,0.011086340510982447
Списания,6227495.0,0.010753363277869505
Уценка,921410.0,0.00159105008640902
