month,month_number,revenue,gross_profit,net_profit,store_count,expenses,gross_margin,net_margin,data_available
Январь,1,77748965.0,20935481.0,5332487.8,34,72416477.2,0.2692702211534263,0.06858596509934248,True
Февраль,2,85587769.0,22980663.0,5315088.699999999,34,80272680.3,0.26850405459219295,0.06210103104802275,True
Март,3,96126487.0,25615203.0,6718872.82,34,89407614.18,0.2664739324136541,0.0698961652473579,True
Апрель,4,90706306.0,23232317.0,4503609.8,34,86202696.2,0.2561268121755504,0.049650459803753884,True
Май,5,76188525.0,19203841.0,1319363.0400000003,34,74869161.96,0.25205686814385764,0.01731708337968218,True
Июнь,6,75562756.0,18845170.0,2470518.0400000005,34,73092237.96,0.24939760005577352,0.032694917056757436,True
Июль,7,77199867.0,18487985.0,1207487.2,34,75992379.8,0.2394820835636932,0.01564105285310919,True
