store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,net_profit,gross_profit_tax_cost,bank_fee_cost,personal_income_tax_cost,payroll_total,writeoffs_total,gross_margin,net_margin,operating_store,active_sheet,primary_cost_driver,primary_cost_driver_amount,excess_cost_driver,excess_cost_amount,narrative,loss_month_names,loss_months,best_month,best_month_profit,worst_month,worst_month_profit,reported_month_count
Н95,8579686.0,11762112.0,3182426.0,2380156.0,9620088.0,12000244.0,30508.0,188493.0,-6400.0,41376.0,26071.0,405210.0,91000.0,365000.0,285248.0,-192401.76,-381891.12,517308.0,237708.0,186600.0,46800.0,886895.0,77500.0,-301313.1,-980941.98,381891.12,192401.76,301313.1,2254124.1,219001.0,0.2705658643617745,-0.08339845599157703,True,True,Закупочная себестоимость,8579686.0,ФОТ и налоги на персонал,1038481.1932728693,"Убыточный результат: чистая маржа -8.3%, убыток 980,942. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 8,579,686; наибольший избыток к медиане — «ФОТ и налоги на персонал» (1,038,481).","Январь, Февраль, Март, Апрель, Май, Июнь, Июль",7,Март,-15318.579999999973,-264045.94,-264045.94,7
НИК,6642512.0,8944783.0,2302271.0,1209519.0,7450230.0,8659749.0,185393.0,461.0,-10000.0,28738.0,0.0,111483.0,264000.0,225979.0,665000.0,-149004.6,-276272.52,561046.0,217360.0,187265.0,93632.0,175700.0,0.0,-63180.26,-688112.38,276272.52,149004.6,63180.26,1298183.26,185854.0,0.25738701542563974,-0.0769289070511828,True,True,Закупочная себестоимость,6642512.0,ФОТ и налоги на персонал,373718.1634116131,"Убыточный результат: чистая маржа -7.7%, убыток 688,112. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 6,642,512; наибольший избыток к медиане — «ФОТ и налоги на персонал» (373,718).","Январь, Февраль, Март, Апрель, Май, Июнь, Июль",7,Январь,-927.1799999999848,-204839.08,-204839.08,7
ОЛЕ,17227086.0,23480152.0,6253066.0,3137307.0,20236125.0,23373432.0,84107.0,26690.0,-2835.0,37278.0,36291.0,389796.0,207000.0,70000.0,215250.0,-404722.5,-750367.92,1137595.0,437209.0,186814.0,93407.0,197354.0,0.0,-129173.0,2007687.58,750367.92,404722.5,129173.0,2181552.0,110797.0,0.26631284158637475,0.08550573181979401,True,True,Закупочная себестоимость,17227086.0,Операционные траты за наличные,147519.50515246883,"Маржа выше сети: 8.6% против 4.6%. Результат поддержан валовой маржой 26.6%; крупнейшая контролируемая статья — Закупочная себестоимость 17,227,086.",—,0,Февраль,502587.9999999999,45322.79999999999,45322.79999999999,7
П.ЗОР,10458457.0,14509134.0,4050677.0,1646876.0,12684003.0,14330879.0,12883.0,30000.0,4928.0,1826.0,40028.0,591516.0,702000.0,0.0,622500.0,-253680.06000000003,-486081.24,563192.0,210538.0,187297.0,93648.0,333650.0,0.0,-203536.52,-226961.82,486081.24,253680.06000000003,203536.52,1591861.52,42883.0,0.2791811695997845,-0.015642685497287433,True,True,Закупочная себестоимость,10458457.0,Операционные траты за наличные,441805.63488851604,"Убыточный результат: чистая маржа -1.6%, убыток 226,962. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 10,458,457; наибольший избыток к медиане — «Операционные траты за наличные» (441,806).","Апрель, Май, Июнь",3,Февраль,121990.62,-216910.98,-216910.98,7
ПЗ1,6859319.0,9150808.0,2291489.0,1429776.0,7645129.0,9074905.0,237289.0,32474.0,-21499.0,19611.0,7403.0,88547.0,91000.0,70000.0,665000.0,-152902.58000000002,-274978.68000000005,562787.0,255075.0,93608.0,46804.0,172851.0,0.0,-57507.56,-272045.82,274978.68000000005,152902.58000000002,57507.56,1188632.56,269763.0,0.2504138432365754,-0.029729158343175816,True,True,Закупочная себестоимость,6859319.0,Аренда,332740.1849762619,"Убыточный результат: чистая маржа -3.0%, убыток 272,046. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 6,859,319; наибольший избыток к медиане — «Аренда» (332,740).","Январь, Февраль, Апрель, Май, Июнь, Июль",6,Март,67947.48000000001,-204676.32,-204676.32,7
ПЗ2,7892421.0,10640640.0,2748219.0,1721646.0,8954462.0,10676108.0,76648.0,47948.0,-9520.0,12675.0,13204.0,90730.0,91000.0,292005.0,700000.0,-179089.24,-329786.28,263174.0,105268.0,0.0,0.0,493722.0,0.0,-128579.44,26917.04000000003,329786.28,179089.24,128579.44,990743.44,124596.0,0.2582757240166005,0.002529644833393483,True,True,Закупочная себестоимость,7892421.0,Аренда,313645.365727902,"Доходность ниже сети: 0.3% против 4.6%. Ключевая нагрузка — Закупочная себестоимость 7,892,421; резерв к медиане — «Аренда» (313,645).","Апрель, Май, Июнь, Июль",4,Февраль,131988.92000000004,-93629.8,-93629.8,7
ПОЛ,10475077.0,14456525.0,3981448.0,1577595.0,12397384.0,13974979.0,237998.0,30625.0,0.0,27892.0,0.0,107985.0,300000.0,0.0,359100.0,-247947.68000000002,-477773.76,368442.0,157900.0,93608.0,46804.0,377792.0,0.0,-106870.94,1306599.62,477773.76,247947.68000000002,106870.94,1151416.94,268623.0,0.27540837096051785,0.09038130671098346,True,True,Закупочная себестоимость,10475077.0,Списания,97370.73200836335,"Маржа выше сети: 9.0% против 4.6%. Результат поддержан валовой маржой 27.5%; крупнейшая контролируемая статья — Закупочная себестоимость 10,475,077.",Июль,1,Март,405387.3,-32814.25999999997,-32814.25999999997,7
ПОРТ,68331804.0,87824981.0,19493177.0,10720621.0,76768297.0,87488918.0,291411.0,581346.0,-13671.0,80476.0,22382.0,468170.0,91000.0,350000.0,499800.0,-1535365.94,-2339181.24,1987447.0,1072671.0,558336.0,279168.0,1736776.0,0.0,-485088.12,7508827.7,2339181.24,1535365.94,485088.12,6119486.12,872757.0,0.22195481032896552,0.08549762965505225,True,True,Закупочная себестоимость,68331804.0,Банковская комиссия,55911.47819553269,"Маржа выше сети: 8.5% против 4.6%. Результат поддержан валовой маржой 22.2%; крупнейшая контролируемая статья — Закупочная себестоимость 68,331,804.",—,0,Июль,1706633.46,760296.26,760296.26,7
РОС,6690069.0,9139386.0,2449317.0,1595272.0,7489565.0,9084837.0,116642.0,99983.0,-8177.0,9698.0,5000.0,107339.0,91000.0,371306.0,350000.0,-149791.3,-293918.04,473714.0,171060.0,93400.0,46700.0,241734.0,0.0,-76796.06,-117424.39999999997,293918.04,149791.3,76796.06,1103404.06,216625.0,0.26799579315284416,-0.012848171638663688,True,True,Закупочная себестоимость,6690069.0,Коммунальные платежи за наличные,252342.57877966462,"Убыточный результат: чистая маржа -1.3%, убыток 117,424. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 6,690,069; наибольший избыток к медиане — «Коммунальные платежи за наличные» (252,343).","Апрель, Май, Июнь, Июль",4,Март,83875.15999999999,-172192.69999999998,-172192.69999999998,7
С1,16321833.0,21828558.0,5506725.0,2606711.0,19054819.0,21661530.0,427985.0,33802.0,339242.0,48778.0,18403.0,317119.0,170000.0,245000.0,665000.0,-381096.38000000006,-660807.0,630639.0,279135.0,93433.0,46716.0,747600.0,70000.0,-249638.18,916739.4400000001,660807.0,381096.38000000006,249638.18,2117161.18,461787.0,0.25227158843932795,0.041997251490455766,True,True,Закупочная себестоимость,16321833.0,Списания,203205.4899561282,"Доходность ниже сети: 4.2% против 4.6%. Ключевая нагрузка — Закупочная себестоимость 16,321,833; резерв к медиане — «Списания» (203,205).",—,0,Июнь,242940.48,37805.14,37805.14,7
С3,5334958.0,7174722.0,1839764.0,936535.0,6720390.0,7656925.0,6526.0,1574.0,300449.0,13716.0,11505.0,172062.0,160000.0,161000.0,238000.0,-134407.80000000002,-220771.68,235252.0,91307.0,93000.0,46500.0,504565.0,93000.0,-169317.94,-480993.42000000004,220771.68,134407.80000000002,169317.94,1232941.94,8100.0,0.25642303632112856,-0.06704000796128408,True,True,Закупочная себестоимость,5334958.0,ФОТ и налоги на персонал,491416.9564733091,"Убыточный результат: чистая маржа -6.7%, убыток 480,993. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 5,334,958; наибольший избыток к медиане — «ФОТ и налоги на персонал» (491,417).","Январь, Февраль, Апрель, Май, Июнь, Июль",6,Март,4929.5,-195133.06,-195133.06,7
СНЕЖ,7893256.0,10706912.0,2813656.0,922289.0,9705227.0,10627516.0,58214.0,21395.0,0.0,50418.0,76396.0,108597.0,300000.0,206830.0,35000.0,-194104.54,-337638.72,631622.0,263174.0,92400.0,46200.0,96763.0,0.0,-45179.2,434752.54000000004,337638.72,194104.54,45179.2,1175338.2,79609.0,0.2627887480535938,0.04060484853149069,True,True,Закупочная себестоимость,7893256.0,ФОТ и налоги на персонал,68752.78185812221,"Доходность ниже сети: 4.1% против 4.6%. Ключевая нагрузка — Закупочная себестоимость 7,893,256; резерв к медиане — «ФОТ и налоги на персонал» (68,753).",Май,1,Январь,199366.72,-109623.62,-109623.62,7
УМБА,5253971.0,7142202.0,1888231.0,1960394.0,5217722.0,7178116.0,78987.0,13168.0,0.0,12569.0,6602.0,107379.0,140000.0,253424.0,325000.0,-104354.44,-226587.72,702472.0,263174.0,93831.0,46916.0,40545.0,0.0,-32543.28,-461163.44,226587.72,104354.44,32543.28,1179481.28,92155.0,0.2643765886207083,-0.06456880385068918,True,True,Закупочная себестоимость,5253971.0,ФОТ и налоги на персонал,441317.3176340298,"Убыточный результат: чистая маржа -6.5%, убыток 461,163. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 5,253,971; наибольший избыток к медиане — «ФОТ и налоги на персонал» (441,317).","Январь, Февраль, Март, Апрель, Май, Июль",6,Июнь,43051.52,-169866.72,-169866.72,7
