store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,expenses,net_profit,gross_margin,net_margin,best_month,best_month_profit,worst_month,worst_month_profit,loss_months,formula_count,gross_profit_tax_cost,bank_fee_cost,personal_income_tax_cost,payroll_total,writeoffs_total,operating_store,active_sheet,primary_cost_driver,primary_cost_driver_amount,excess_cost_driver,excess_cost_amount,narrative,loss_month_names,reported_month_count
ГС1,12595062.0,17044885.0,4449823.0,3113034.0,14270263.0,17383297.0,339734.0,7673.0,0.0,20326.0,19300.0,169451.0,91000.0,194915.0,619500.0,-285405.26,-533978.76,684253.0,289491.0,94012.0,47006.0,761288.0,0.0,-204762.58,16577797.6,467087.3999999999,0.2610650057187244,0.0274033764381513,Август,210452.58,Июль,-147259.74,1,6484,533978.76,285405.26,204762.58,2080812.58,347407.0,True,True,Закупочная себестоимость,12595062.0,ФОТ и налоги на персонал,395057.7984152206,"Доходность ниже сети: 2.7% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 12,595,062; наибольший резерв относительно медианы — «ФОТ и налоги на персонал» (395,058).",Июль,8
ГС2,12156063.0,16365843.0,4209780.0,2689921.0,14027581.0,16717502.0,254715.0,3934.0,0.0,13955.0,22184.0,95231.0,91000.0,301000.0,455000.0,-280551.62,-505173.6,422460.0,203958.0,93682.0,46841.0,579882.0,0.0,-148524.86000000002,15383301.08,982541.92,0.2572296459155816,0.0600361325719671,Март,261301.34000000003,Июль,-37756.84000000004,1,6484,505173.6,280551.62,148524.86000000002,1495347.86,258649.0,True,True,Закупочная себестоимость,12156063.0,Коммунальные платежи за наличные,113850.11378222852,"Маржа выше сети: 6.0% против 5.3%. Результат поддержан валовой маржой 25.7%; крупнейшая контролируемая статья — Закупочная себестоимость 12,156,063.",Июль,8
Н95,9536766.0,13058901.0,3522135.0,2658710.0,10977992.0,13636702.0,53498.0,188493.0,-6400.0,41966.0,26071.0,413337.0,91000.0,365000.0,285248.0,-219559.84,-422656.2,543626.0,250867.0,186600.0,46800.0,958077.0,77500.0,-318761.08,13904291.12,-845390.12,0.2697114404956435,-0.0647366972151791,Август,135551.86,Февраль,-264045.94,7,6484,422656.2,219559.84,318761.08,2382231.08,241991.0,True,True,Закупочная себестоимость,9536766.0,ФОТ и налоги на персонал,1090693.7769913697,"Убыточный результат: чистая маржа -6.5%, убыток 845,390. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 9,536,766; относительно медианы сети наибольший избыток создает «ФОТ и налоги на персонал» (1,090,694).","Январь, Февраль, Март, Апрель, Май, Июнь, Июль",8
РЕЗ2,3675.0,4495.0,820.0,11270.0,130444.0,141714.0,17973.0,600.0,-439795.0,272.0,0.0,0.0,0.0,0.0,0.0,-2608.88,-98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6982.280000000001,-2487.28,0.182424916573971,-0.5533437152391547,Январь,-2487.28,Январь,-2487.28,1,6484,98.4,2608.88,-0.0,0.0,18573.0,False,True,Списания,18573.0,Списания,18523.459145723693,"Убыточный результат: чистая маржа -55.3%, убыток 2,487. Крупнейшая контролируемая нагрузка — Списания 18,573; относительно медианы сети наибольший избыток создает «Списания» (18,523).",Январь,1
МОЛ,1099509.0,1369390.0,269881.0,329806.0,1081619.0,1411425.0,61434.0,10149.0,-485123.0,1489.0,10684.0,32623.0,39000.0,120000.0,90000.0,-21632.38,-32385.72,157904.0,52633.0,0.0,0.0,102600.0,0.0,-29749.06,1788185.16,-418795.16,0.1970811821321902,-0.3058260685414674,Январь,-131761.34,Февраль,-151530.72,3,6484,32385.72,21632.38,29749.06,342886.06,71583.0,True,True,Закупочная себестоимость,1099509.0,ФОТ и налоги на персонал,207452.13126687089,"Убыточный результат: чистая маржа -30.6%, убыток 418,795. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 1,099,509; относительно медианы сети наибольший избыток создает «ФОТ и налоги на персонал» (207,452).","Январь, Февраль, Март",3
РОС,7393500.0,10088159.0,2694659.0,1754772.0,8307612.0,10062384.0,143807.0,99983.0,-8177.0,9698.0,5000.0,107339.0,91000.0,371306.0,350000.0,-166152.24,-323359.08,500031.0,184219.0,93400.0,46700.0,267934.0,0.0,-82560.06,10077483.38,10675.620000000028,0.2671110754697661,0.0010582327261098,Август,128100.02,Май,-172192.69999999998,4,6484,323359.08,166152.24,82560.06,1174844.06,243790.0,True,True,Закупочная себестоимость,7393500.0,Коммунальные платежи за наличные,255943.91269433615,"Доходность ниже сети: 0.1% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 7,393,500; наибольший резерв относительно медианы — «Коммунальные платежи за наличные» (255,944).","Апрель, Май, Июнь, Июль",8
С1,17936216.0,23955038.0,6018822.0,3003375.0,21542014.0,24545389.0,464422.0,33802.0,339242.0,48778.0,18403.0,348583.0,170000.0,245000.0,665000.0,-430840.28,-722258.6399999999,656255.0,291943.0,93433.0,46716.0,823500.0,163500.0,-293828.26,22920875.18,1034162.82,0.251254955220693,0.043170994761102,Июнь,242940.48,Июль,37805.14,0,6484,722258.6399999999,430840.28,293828.26,2369175.26,498224.0,True,True,Закупочная себестоимость,17936216.0,Списания,234207.74933450582,"Доходность ниже сети: 4.3% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 17,936,216; наибольший резерв относительно медианы — «Списания» (234,208).",—,8
С2,8003318.0,10990970.0,2987652.0,1567172.0,9640772.0,11207944.0,15065.0,0.0,-913037.0,6002.0,37102.0,76046.0,120000.0,0.0,1600000.0,-192815.44,-358518.24,52635.0,26317.0,0.0,0.0,506535.0,0.0,-128167.82,11064352.5,-73382.49999999994,0.2718278732450366,-0.0066766172594411,Февраль,180901.4,Май,-248084.02,2,6484,358518.24,192815.44,128167.82,713654.8200000001,15065.0,True,True,Закупочная себестоимость,8003318.0,Аренда,1218677.748834054,"Убыточный результат: чистая маржа -0.7%, убыток 73,382. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 8,003,318; относительно медианы сети наибольший избыток создает «Аренда» (1,218,678).","Апрель, Май",6
С3,5914850.0,7940101.0,2025251.0,1005262.0,7690343.0,8695605.0,10995.0,1574.0,300449.0,13716.0,11505.0,203744.0,160000.0,161000.0,238000.0,-153806.86000000002,-243030.12,261569.0,104466.0,93000.0,46500.0,530765.0,93000.0,-182051.98,8387356.96,-447255.96,0.2550661509217578,-0.0563287494705671,Август,33737.46,Июль,-195133.06,6,6484,243030.12,153806.86000000002,182051.98,1311351.98,12569.0,True,True,Закупочная себестоимость,5914850.0,ФОТ и налоги на персонал,526068.6984163407,"Убыточный результат: чистая маржа -5.6%, убыток 447,256. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 5,914,850; относительно медианы сети наибольший избыток создает «ФОТ и налоги на персонал» (526,069).","Январь, Февраль, Апрель, Май, Июнь, Июль",8
РЕЗЕРВ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,6484,-0.0,-0.0,-0.0,0.0,0.0,False,False,—,0.0,—,0.0,Лист не содержит продаж за период и исключен из сопоставимого рейтинга.,—,0
