store,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoffs_copy,writeoffs_frozen,movement,discount,revaluation,cash_operating_costs,driver_cash,utilities_cash,rent,bank_fee,gross_profit_tax,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax,expenses,net_profit,gross_margin,net_margin,best_month,best_month_profit,worst_month,worst_month_profit,loss_months,formula_count,gross_profit_tax_cost,bank_fee_cost,personal_income_tax_cost,payroll_total,writeoffs_total,operating_store,active_sheet,primary_cost_driver,primary_cost_driver_amount,excess_cost_driver,excess_cost_amount,narrative,loss_month_names,reported_month_count
КИР1,33935001.0,45773545.0,11838544.0,7545360.0,39241089.0,46786449.0,67117.0,5692.0,8498.0,42062.0,132882.0,407860.0,190000.0,0.0,1050000.0,-784821.7800000001,-1420625.28,0.0,236854.0,0.0,0.0,2166400.0,93000.0,-586797.2,40877051.26,4896493.74,0.258632884999403,0.1069721329208825,Апрель,1128969.46,Июнь,194472.4400000001,0,6484,1420625.28,784821.7800000001,586797.2,3083051.2,72809.0,True,True,Закупочная себестоимость,33935001.0,Аренда,0.0,"Маржа выше сети: 10.7% против 5.3%. Результат поддержан валовой маржой 25.9%; крупнейшая контролируемая статья — Закупочная себестоимость 33,935,001.",—,8
КИР2,8168216.0,11168485.0,3000269.0,2218558.0,9210362.0,11428920.0,149419.0,6618.0,-2645.0,17243.0,5564.0,39950.0,207000.0,248056.0,500000.0,-184207.24,-360032.28,511631.0,203180.0,186828.0,93414.0,337799.0,0.0,-83104.78,11130036.3,38448.70000000004,0.2686370622335974,0.0034426065845098,Март,109853.89999999998,Июль,-167433.97999999998,3,6484,360032.28,184207.24,83104.78,1415956.78,156037.0,True,True,Закупочная себестоимость,8168216.0,ФОТ и налоги на персонал,311383.3556672523,"Доходность ниже сети: 0.3% против 5.3%. Ключевая нагрузка — Закупочная себестоимость 8,168,216; наибольший резерв относительно медианы — «ФОТ и налоги на персонал» (311,383).","Апрель, Июнь, Июль",8
КИР3,12583904.0,17028809.0,4444905.0,2617021.0,14940738.0,17557759.0,57576.0,14693.0,-114678.0,30885.0,5500.0,39341.0,190000.0,188158.0,550000.0,-298814.76,-533388.6,52635.0,78951.0,93600.0,46800.0,717100.0,0.0,-166417.02,15553802.38,1475006.62,0.2610226587191153,0.0866183078335073,Апрель,453444.76,Май,-8966.52,1,6484,533388.6,298814.76,166417.02,1155503.02,72269.0,True,True,Закупочная себестоимость,12583904.0,Банковская комиссия,6042.315566608275,"Маржа выше сети: 8.7% против 5.3%. Результат поддержан валовой маржой 26.1%; крупнейшая контролируемая статья — Закупочная себестоимость 12,583,904.",Май,7
КА1,4900149.0,6864591.0,1964442.0,1365434.0,6112872.0,7478306.0,75990.0,19243.0,-544417.0,42931.0,16991.0,288502.0,120000.0,135000.0,125000.0,-122257.44,-235733.04,0.0,263171.0,186000.0,93000.0,645900.0,0.0,-205568.44,7339523.92,-474932.92,0.2861702904076878,-0.0691859019714357,Январь,41099.22,Июнь,-445979.52,3,6484,235733.04,122257.44,205568.44,1393639.44,95233.0,True,True,Закупочная себестоимость,4900149.0,ФОТ и налоги на персонал,714725.0852317605,"Убыточный результат: чистая маржа -6.9%, убыток 474,933. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 4,900,149; относительно медианы сети наибольший избыток создает «ФОТ и налоги на персонал» (714,725).","Апрель, Май, Июнь",6
КА2,9723306.0,13745536.0,4022230.0,3318227.0,11047195.0,14365422.0,33136.0,5032.0,362046.0,27576.0,0.0,117143.0,140000.0,0.0,420000.0,-220943.9,-482667.6,684252.0,276332.0,93608.0,46804.0,91500.0,0.0,-45901.46,12347489.96,1398046.04,0.2926208188607559,0.10170909595668,Март,261227.9,Июль,33760.67999999998,0,6484,482667.6,220943.9,45901.46,1238397.46,38168.0,True,True,Закупочная себестоимость,9723306.0,Налог с валовой прибыли,52050.1878663681,"Маржа выше сети: 10.2% против 5.3%. Результат поддержан валовой маржой 29.3%; крупнейшая контролируемая статья — Закупочная себестоимость 9,723,306.",—,8
П.ЗОР,11366295.0,15748683.0,4382388.0,1865141.0,14161456.0,16026597.0,12883.0,30000.0,4928.0,1826.0,40028.0,639099.0,702000.0,0.0,622500.0,-283229.12,-525886.56,589510.0,223697.0,187297.0,93648.0,387832.0,0.0,-225924.82,15876918.5,-128235.5,0.2782701258257595,-0.0081426173858474,Февраль,121990.62,Май,-216910.98,3,6484,525886.56,283229.12,225924.82,1707908.82,42883.0,True,True,Закупочная себестоимость,11366295.0,Операционные траты за наличные,490404.14820067736,"Убыточный результат: чистая маржа -0.8%, убыток 128,236. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 11,366,295; относительно медианы сети наибольший избыток создает «Операционные траты за наличные» (490,404).","Апрель, Май, Июнь",8
КОВ,18673102.0,25906314.0,7233212.0,4234747.0,21993239.0,26227986.0,22707.0,129.0,-24980.0,6919.0,12234.0,253518.0,552000.0,229505.0,1365000.0,-439864.78,-867985.44,684252.0,289491.0,93608.0,46804.0,575818.0,0.0,-182453.92,24253531.14,1652782.86,0.2792065285706025,0.0637984570093607,Март,380956.5,Июль,-49021.699999999975,1,6484,867985.44,439864.78,182453.92,1872426.92,22836.0,True,True,Закупочная себестоимость,18673102.0,Аренда,466202.7169674863,"Маржа выше сети: 6.4% против 5.3%. Результат поддержан валовой маржой 27.9%; крупнейшая контролируемая статья — Закупочная себестоимость 18,673,102.",Июль,8
УМБА,5817653.0,7901860.0,2084207.0,2294113.0,6079198.0,8373311.0,78987.0,13168.0,0.0,12569.0,11402.0,109029.0,140000.0,253424.0,325000.0,-121583.96,-250104.84,728789.0,276333.0,93831.0,46916.0,92914.0,0.0,-44427.46,8313173.26,-411313.26,0.2637615700607199,-0.0520527141710938,Август,49850.180000000015,Май,-169866.72,6,6484,250104.84,121583.96,44427.46,1283210.46,92155.0,True,True,Закупочная себестоимость,5817653.0,ФОТ и налоги на персонал,501709.24843925866,"Убыточный результат: чистая маржа -5.2%, убыток 411,313. Крупнейшая контролируемая нагрузка — Закупочная себестоимость 5,817,653; относительно медианы сети наибольший избыток создает «ФОТ и налоги на персонал» (501,709).","Январь, Февраль, Март, Апрель, Май, Июль",8
АЛА,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,6484,-0.0,-0.0,-0.0,0.0,0.0,False,False,—,0.0,—,0.0,Лист не содержит продаж за период и исключен из сопоставимого рейтинга.,—,0
РЕЗЕРВ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,6484,-0.0,-0.0,-0.0,0.0,0.0,False,False,—,0.0,—,0.0,Лист не содержит продаж за период и исключен из сопоставимого рейтинга.,—,0
РЕЗЕРВ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,6484,-0.0,-0.0,-0.0,0.0,0.0,False,False,—,0.0,—,0.0,Лист не содержит продаж за период и исключен из сопоставимого рейтинга.,—,0
РЕЗЕРВ3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,6484,-0.0,-0.0,-0.0,0.0,0.0,False,False,—,0.0,—,0.0,Лист не содержит продаж за период и исключен из сопоставимого рейтинга.,—,0
РЕЗЕРВ4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,6484,-0.0,-0.0,-0.0,0.0,0.0,False,False,—,0.0,—,0.0,Лист не содержит продаж за период и исключен из сопоставимого рейтинга.,—,0
