category,amount,share_of_revenue
Закупочная себестоимость,481791700.0,0.7433565246461155
ФОТ и налоги на персонал,58448569.6,0.09018031146736774
Аренда,20596998.0,0.031779112947406506
Налог с валовой прибыли,19960601.76,0.030797217042466147
Банковская комиссия,11306621.4,0.017444988756330583
Списания,7113092.0,0.010974791281394194
Операционные траты за наличные,6943100.0,0.010712510585529897
Коммунальные платежи за наличные,6501266.0,0.010030804805396093
Уценка,939258.0,0.0014491813840422348
